FeedbackId,EnrollmentId,TeacherId,Date,Subject,NameOfTeacher,Q1Rating,Q2Rating,Q3Rating,Q4Rating,Q5Rating,Q6Rating,Q7Rating,Q8Rating,Q9Rating,Q10Rating,Q11Rating,Q12Rating,Q13Rating,Q14Rating,Q15Rating,Q16Rating,Q17Rating,Q18Rating,Q19Rating,Q20Rating,Comments
1,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
2,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
3,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
4,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
5,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
6,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
7,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
8,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
9,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
10,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
11,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
12,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
13,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
14,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
15,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
16,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
17,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
18,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
19,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
20,5,1,2023-05-05,Physics,Michael Brown,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,1,The teacher conducts engaging experiments.
21,1,1,2023-05-01,Mathematics,John Doe,4,5,3,4,5,2,4,5,3,5,4,3,2,4,5,3,2,4,3,1,The teacher explained the concepts well.
22,2,3,2023-05-02,Science,Jane Smith,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The teacher is very knowledgeable.
23,3,2,2023-05-03,English,David Johnson,3,2,4,3,2,3,4,3,2,4,3,2,4,3,2,4,3,2,4,5,The teacher could improve on explaining grammar rules.
24,4,4,2023-05-04,History,Sarah Williams,1,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,The teacher makes the subject interesting.
